<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19950125,000000,4.76585,4.76585,4.76585,4.76585,151362.14233375,0
CDR,D,19950126,000000,4.76585,4.76585,4.76585,4.76585,25473.035067188,0
CDR,D,19950127,000000,4.81286,4.81286,4.81286,4.81286,22558.280529099,0
CDR,D,19950130,000000,4.76585,4.76585,4.76585,4.76585,33545.440183074,0
CDR,D,19950131,000000,4.76585,4.76585,4.76585,4.76585,52306.962461172,0
CDR,D,19950201,000000,4.86958,4.86958,4.86958,4.86958,23515.047443335,0
CDR,D,19950202,000000,4.86958,4.86958,4.86958,4.86958,45703.553219942,0
CDR,D,19950203,000000,4.76585,4.76585,4.76585,4.76585,32287.599836481,0
CDR,D,19950206,000000,5.01112,5.01112,5.01112,5.01112,6790.3172445394,0
CDR,D,19950207,000000,5.52076,5.52076,5.52076,5.52076,73112.349013292,0
CDR,D,19950208,000000,5.41693,5.41693,5.41693,5.41693,43169.686883191,0
CDR,D,19950209,000000,5.06783,5.06783,5.06783,5.06783,16981.349835771,0
CDR,D,19950210,000000,5.06783,5.06783,5.06783,5.06783,44614.435233093,0
CDR,D,19950213,000000,4.9639,4.9639,4.9639,4.9639,4628.2462873434,0
CDR,D,19950214,000000,5.16216,5.16216,5.16216,5.16216,10747.715347033,0
CDR,D,19950215,000000,5.02992,5.02992,5.02992,5.02992,8953.3985152668,0
CDR,D,19950216,000000,5.14325,5.14325,5.14325,5.14325,7678.38283864,0
CDR,D,19950217,000000,5.08674,5.08674,5.08674,5.08674,8850.346535064,0
CDR,D,19950220,000000,4.90739,4.90739,4.90739,4.90739,7231.8242577612,0
CDR,D,19950221,000000,4.65252,4.65252,4.65252,4.65252,33321.150579103,0
CDR,D,19950222,000000,4.70913,4.70913,4.70913,4.70913,18469.541667523,0
CDR,D,19950223,000000,4.79406,4.79406,4.79406,4.79406,25574.066420328,0
CDR,D,19950224,000000,5.26589,5.26589,5.26589,5.26589,97474.039195941,0
CDR,D,19950227,000000,4.74704,4.74704,4.74704,4.74704,27365.3523115,0
CDR,D,19950228,000000,4.76585,4.76585,4.76585,4.76585,18238.179868833,0
CDR,D,19950301,000000,4.83187,4.83187,4.83187,4.83187,11904.524340486,0
CDR,D,19950302,000000,4.9639,4.9639,4.9639,4.9639,16205.429043656,0
CDR,D,19950303,000000,5.02992,5.02992,5.02992,5.02992,15019.320957792,0
CDR,D,19950306,000000,5.01112,5.01112,5.01112,5.01112,28861.626651504,0
CDR,D,19950307,000000,4.9639,4.9639,4.9639,4.9639,27279.475661331,0
CDR,D,19950308,000000,5.02992,5.02992,5.02992,5.02992,11736.812294274,0
CDR,D,19950309,000000,5.04893,5.04893,5.04893,5.04893,16449.924918255,0
CDR,D,19950310,000000,4.98291,4.98291,4.98291,4.98291,26067.099423651,0
CDR,D,19950313,000000,4.9451,4.9451,4.9451,4.9451,28903.049506291,0
CDR,D,19950314,000000,4.86958,4.86958,4.86958,4.86958,8218.900577939,0
CDR,D,19950315,000000,4.9639,4.9639,4.9639,4.9639,11174.067657284,0
CDR,D,19950316,000000,4.86958,4.86958,4.86958,4.86958,9856.6188123384,0
CDR,D,19950317,000000,4.88848,4.88848,4.88848,4.88848,19329.318482745,0
CDR,D,19950320,000000,4.81286,4.81286,4.81286,4.81286,18399.830033857,0
CDR,D,19950321,000000,4.83187,4.83187,4.83187,4.83187,15321.404703681,0
CDR,D,19950322,000000,4.81286,4.81286,4.81286,4.81286,16528.729373704,0
CDR,D,19950323,000000,4.76585,4.76585,4.76585,4.76585,26309.574671187,0
CDR,D,19950324,000000,4.79406,4.79406,4.79406,4.79406,6681.2033831482,0
CDR,D,19950327,000000,4.81286,4.81286,4.81286,4.81286,16634.812294501,0
CDR,D,19950328,000000,4.74704,4.74704,4.74704,4.74704,12627.908828969,0
CDR,D,19950329,000000,4.65252,4.65252,4.65252,4.65252,7093.4113039594,0
CDR,D,19950330,000000,4.67142,4.67142,4.67142,4.67142,12519.805281109,0
CDR,D,19950331,000000,4.76585,4.76585,4.76585,4.76585,16770.194307709,0
CDR,D,19950403,000000,4.86958,4.86958,4.86958,4.86958,14277.750825745,0
CDR,D,19950404,000000,4.9639,4.9639,4.9639,4.9639,37447.271041341,0
CDR,D,19950405,000000,4.9639,4.9639,4.9639,4.9639,25264.91047972,0
CDR,D,19950406,000000,5.02992,5.02992,5.02992,5.02992,59984.334986281,0
CDR,D,19950407,000000,5.16216,5.16216,5.16216,5.16216,70096.563122063,0
CDR,D,19950410,000000,5.70001,5.70001,5.70001,5.70001,107346.82302478,0
CDR,D,19950411,000000,5.73772,5.73772,5.73772,5.73772,66077.535894154,0
CDR,D,19950412,000000,5.73772,5.73772,5.73772,5.73772,80024.914195131,0
CDR,D,19950413,000000,5.48295,5.48295,5.48295,5.48295,73637.71204962,0
CDR,D,19950414,000000,5.61509,5.61509,5.61509,5.61509,42454.384902959,0
CDR,D,19950418,000000,6.06812,6.06812,6.06812,6.06812,19352.555693967,0
CDR,D,19950419,000000,6.66268,6.66268,6.66268,6.66268,72946.657594143,0
CDR,D,19950420,000000,6.56826,6.56826,6.56826,6.56826,87300.181934743,0
CDR,D,19950421,000000,6.3701,6.3701,6.3701,6.3701,81364.589937768,0
CDR,D,19950424,000000,6.68159,6.68159,6.68159,6.68159,72656.697610631,0
CDR,D,19950425,000000,6.56826,6.56826,6.56826,6.56826,110457.57838796,0
CDR,D,19950426,000000,6.03041,6.03041,6.03041,6.03041,51231.988863763,0
CDR,D,19950427,000000,6.13414,6.13414,6.13414,6.13414,86055.475664058,0
CDR,D,19950428,000000,6.17195,6.17195,6.17195,6.17195,97822.597364274,0
CDR,D,19950504,000000,6.38901,6.38901,6.38901,6.38901,73987.280531485,0
CDR,D,19950505,000000,6.60607,6.60607,6.60607,6.60607,78904.476488809,0
CDR,D,19950509,000000,6.95527,6.95527,6.95527,6.95527,73943.837049635,0
CDR,D,19950510,000000,7.66297,7.66297,7.66297,7.66297,138896.89398334,0
CDR,D,19950511,000000,8.36146,8.36146,8.36146,8.36146,199227.76651089,0
CDR,D,19950512,000000,7.96495,7.96495,7.96495,7.96495,112266.03960917,0
CDR,D,19950515,000000,8.4746,8.4746,8.4746,8.4746,93146.866340954,0
CDR,D,19950516,000000,7.62526,7.62526,7.62526,7.62526,61349.268567202,0
CDR,D,19950517,000000,7.62526,7.62526,7.62526,7.62526,143615.05817498,0
CDR,D,19950518,000000,7.35168,7.35168,7.35168,7.35168,113231.89934519,0
CDR,D,19950519,000000,7.29496,7.29496,7.29496,7.29496,83162.94802366,0
CDR,D,19950522,000000,6.80422,6.80422,6.80422,6.80422,99335.036720779,0
CDR,D,19950523,000000,6.13414,6.13414,6.13414,6.13414,93555.03300764,0
CDR,D,19950524,000000,6.7193,6.7193,6.7193,6.7193,31243.945958545,0
CDR,D,19950525,000000,7.37048,7.37048,7.37048,7.37048,119374.6056161,0
CDR,D,19950526,000000,7.23825,7.23825,7.23825,7.23825,69948.047032948,0
CDR,D,19950529,000000,7.23825,7.23825,7.23825,7.23825,41266.256190033,0
CDR,D,19950530,000000,6.91746,6.91746,6.91746,6.91746,52537.313946331,0
CDR,D,19950531,000000,6.24747,6.24747,6.24747,6.24747,51695.722774675,0
CDR,D,19950601,000000,6.17195,6.17195,6.17195,6.17195,66537.228550941,0
CDR,D,19950602,000000,6.26627,6.26627,6.26627,6.26627,82405.21287511,0
CDR,D,19950605,000000,6.46453,6.46453,6.46453,6.46453,40447.902229599,0
CDR,D,19950606,000000,6.75701,6.75701,6.75701,6.75701,74916.768980373,0
CDR,D,19950607,000000,6.95527,6.95527,6.95527,6.95527,81272.65140641,0
